IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-0213,HIGH,10,11.55919105,,,,CVE-2007-3092,HIGH,9.3,149.1158856,,CVE-2007-0213,HIGH,10,11.55919105
CVE-2007-2417,HIGH,10,11.56152356,,,,CVE-2007-1094,HIGH,7.8,125.0649363,,CVE-2007-2417,HIGH,10,11.56152356
CVE-2007-3999,HIGH,10,11.5734167,,,,CVE-2007-0956,HIGH,10,115.0644033,,CVE-2007-3999,HIGH,10,11.5734167
CVE-2007-4743,HIGH,10,11.5734167,,,,CVE-2007-2442,HIGH,10,115.0644033,,CVE-2007-4743,HIGH,10,11.5734167
CVE-2007-5902,HIGH,10,11.5734167,,,,CVE-2007-1447,HIGH,10,114.9536811,,CVE-2007-5902,HIGH,10,11.5734167
CVE-2007-5531,HIGH,10,11.59233267,,,,CVE-2007-3216,HIGH,10,114.9536811,,CVE-2007-5531,HIGH,10,11.59233267
CVE-2007-0061,HIGH,10,11.60795434,,,,CVE-2007-5082,HIGH,10,114.9536811,,CVE-2007-0061,HIGH,10,11.60795434
CVE-2007-0063,HIGH,10,11.60795434,,,,CVE-2007-5083,HIGH,10,114.9536811,,CVE-2007-0063,HIGH,10,11.60795434
CVE-2007-1062,HIGH,10,11.61795516,,,,CVE-2007-5325,HIGH,10,114.9536811,,CVE-2007-1062,HIGH,10,11.61795516
CVE-2007-1063,HIGH,10,11.61795516,,,,CVE-2007-5327,HIGH,10,114.9536811,,CVE-2007-1063,HIGH,10,11.61795516
CVE-2007-0040,HIGH,10,11.62223298,,,,CVE-2007-5328,HIGH,10,114.9536811,,CVE-2007-0040,HIGH,10,11.62223298
CVE-2007-1748,HIGH,10,11.62223298,,,,CVE-2007-5330,HIGH,10,114.9536811,,CVE-2007-1748,HIGH,10,11.62223298
CVE-2007-0057,HIGH,10,11.65609258,,,,CVE-2007-5332,HIGH,10,114.9536811,,CVE-2007-0057,HIGH,10,11.65609258
CVE-2007-0882,HIGH,10,11.65647263,,,,CVE-2007-0449,HIGH,10,114.9519571,,CVE-2007-0882,HIGH,10,11.65647263
CVE-2007-0910,HIGH,10,11.65647263,,,,CVE-2007-2863,HIGH,10,114.9519571,,CVE-2007-0910,HIGH,10,11.65647263
CVE-2007-1794,HIGH,10,11.65647263,,,,CVE-2007-5003,HIGH,10,114.9519571,,CVE-2007-1794,HIGH,10,11.65647263
CVE-2007-2036,HIGH,10,11.65647263,,,,CVE-2007-5005,HIGH,10,114.9519571,,CVE-2007-2036,HIGH,10,11.65647263
CVE-2007-2462,HIGH,10,11.65647263,,,,CVE-2007-5006,HIGH,10,114.9519571,,CVE-2007-2462,HIGH,10,11.65647263
CVE-2007-3093,HIGH,10,11.65647263,,,,CVE-2007-2139,HIGH,10,114.9502332,,CVE-2007-3093,HIGH,10,11.65647263
CVE-2007-5689,HIGH,10,11.65647263,,,,CVE-2007-2522,HIGH,10,114.9502332,,CVE-2007-5689,HIGH,10,11.65647263
CVE-2007-5617,HIGH,10,11.657233,,,,CVE-2007-3695,HIGH,10,114.9502332,,CVE-2007-5617,HIGH,10,11.657233
CVE-2007-0062,HIGH,10,11.65913542,,,,CVE-2007-5326,HIGH,10,114.9502332,,CVE-2007-0062,HIGH,10,11.65913542
CVE-2007-0100,HIGH,10,11.65913542,,,,CVE-2007-5329,HIGH,10,114.9502332,,CVE-2007-0100,HIGH,10,11.65913542
CVE-2007-0254,HIGH,10,11.65913542,,,,CVE-2007-5331,HIGH,10,114.9502332,,CVE-2007-0254,HIGH,10,11.65913542
CVE-2007-0445,HIGH,10,11.65913542,,,,CVE-2007-0217,HIGH,10,114.7702484,,CVE-2007-0445,HIGH,10,11.65913542
CVE-2007-0446,HIGH,10,11.65913542,,,,CVE-2007-0219,HIGH,10,114.7702484,,CVE-2007-0446,HIGH,10,11.65913542
CVE-2007-0888,HIGH,10,11.65913542,,,,CVE-2007-2938,HIGH,10,114.7702484,,CVE-2007-0888,HIGH,10,11.65913542
CVE-2007-0938,HIGH,10,11.65913542,,,,CVE-2007-3111,HIGH,10,114.7702484,,CVE-2007-0938,HIGH,10,11.65913542
CVE-2007-1024,HIGH,10,11.65913542,,,,CVE-2007-3341,HIGH,10,114.7702484,,CVE-2007-1024,HIGH,10,11.65913542
CVE-2007-1045,HIGH,10,11.65913542,,,,CVE-2007-1916,HIGH,10,114.6666045,,CVE-2007-1045,HIGH,10,11.65913542
CVE-2007-1052,HIGH,10,11.65913542,,,,CVE-2007-1917,HIGH,10,114.6666045,,CVE-2007-1052,HIGH,10,11.65913542
CVE-2007-1053,HIGH,10,11.65913542,,,,CVE-2007-3825,HIGH,9.3,106.9069234,,CVE-2007-1053,HIGH,10,11.65913542
CVE-2007-1070,HIGH,10,11.65913542,,,,CVE-2007-5004,HIGH,9.3,106.9053201,,CVE-2007-1070,HIGH,10,11.65913542
CVE-2007-1073,HIGH,10,11.65913542,,,,CVE-2007-3302,HIGH,9.3,106.9037169,,CVE-2007-1073,HIGH,10,11.65913542
CVE-2007-1112,HIGH,10,11.65913542,,,,CVE-2007-0060,HIGH,9.3,106.8957036,,CVE-2007-1112,HIGH,10,11.65913542
CVE-2007-1139,HIGH,10,11.65913542,,,,CVE-2007-2864,HIGH,9.3,106.8957036,,CVE-2007-1139,HIGH,10,11.65913542
CVE-2007-1160,HIGH,10,11.65913542,,,,CVE-2007-1344,HIGH,9.3,106.7537791,,CVE-2007-1160,HIGH,10,11.65913542
CVE-2007-1288,HIGH,10,11.65913542,,,,CVE-2007-0024,HIGH,9.3,106.736331,,CVE-2007-1288,HIGH,10,11.65913542
CVE-2007-1319,HIGH,10,11.65913542,,,,CVE-2007-0218,HIGH,9.3,106.736331,,CVE-2007-1319,HIGH,10,11.65913542
CVE-2007-1329,HIGH,10,11.65913542,,,,CVE-2007-0942,HIGH,9.3,106.736331,,CVE-2007-1329,HIGH,10,11.65913542
CVE-2007-1391,HIGH,10,11.65913542,,,,CVE-2007-0944,HIGH,9.3,106.736331,,CVE-2007-1391,HIGH,10,11.65913542
CVE-2007-1414,HIGH,10,11.65913542,,,,CVE-2007-0945,HIGH,9.3,106.736331,,CVE-2007-1414,HIGH,10,11.65913542
CVE-2007-1416,HIGH,10,11.65913542,,,,CVE-2007-0946,HIGH,9.3,106.736331,,CVE-2007-1416,HIGH,10,11.65913542
CVE-2007-1421,HIGH,10,11.65913542,,,,CVE-2007-0947,HIGH,9.3,106.736331,,CVE-2007-1421,HIGH,10,11.65913542
CVE-2007-1485,HIGH,10,11.65913542,,,,CVE-2007-1749,HIGH,9.3,106.736331,,CVE-2007-1485,HIGH,10,11.65913542
